pdb_id,temperature,n_mutations,pocket_residues,mutation_rate
3MG1,0.1,35,35,11.6
3MG1,0.3,35,35,11.6
3MG1,0.5,35,35,11.6
4FCJ,0.1,25,25,19.5
4FCJ,0.3,25,25,19.5
4FCJ,0.5,25,25,19.5
1GY6,0.1,14,14,11.2
1GY6,0.3,14,14,11.2
1GY6,0.5,14,14,11.2
2QIY,0.1,18,18,13.4
2QIY,0.3,18,18,13.4
2QIY,0.5,18,18,13.4
2A15,0.1,15,15,11.3
2A15,0.3,15,15,11.3
2A15,0.5,15,15,11.3
